T10001	Phleum alpinum L.
T10002	Cichorium spinosum L.
T10003	Carduus
T10004	Cichorium endivia subsp. endivia
T10005	Cichorium pumilum Jacq.
T10006	Cichorium intybus L.
T10007	Carpesium cernuum
T10008	Kohleria
T10009	Cephalorrhynchus tuberosus (Steven) Schchian
T10010	Lactuca quercina subsp. wilhelmsiana (DC.) Feráková
T10011	Tolpis azorica (Nutt.) Pinto da Silva
T10012	Pleurothallis grisebachiana Cogn.
T10013	Andryala agardhii Haenseler ex DC.
T10014	Pleurothallis aristata Hook.
T10015	Pleurothallis oricola H.Stenzel
T10016	Rinorea
T10017	Pleurothallis denticulata Cogn.
T10018	Pleurothallis ghiesbreghtiana A.Rich. & Galeotti
T10019	Steptorhamphus tuberosus (Jacq.) Grossh.
T10020	Erysimum cuspidatum
T10021	Rinorea liberica Engl.
T10022	Erysimum cuspidatum (M.Bieb.) DC.
T10023	Polygala laureola
T10024	Erysimum filifolium
T10025	Polygala lancifolia
T10026	Polygala linoides
T10027	Erysimum iljinii
T10028	Erysimum horizontale
T10029	Cirsium arvense (L.) Scop.
T10030	Erysimum horizontale P.Candargy
T10031	Erysimum incanum
T10032	Erysimum incanum Kunze
T10033	Hieracium
T10034	Carduus acanthoides L.
T10035	Lapsana communis L.
T10036	Kohleria digitaliflora
T10037	Leontodon hispidus subsp. opimus (W.D.J.Koch) Finch & P.D.Sell
T10038	Crepis paludosa (L.) Moench
T10039	Lactuca quercina L.
T10040	Senecio alpinus (L.) Scop.
T10041	Crepis biennis L.
T10042	Kohleria Eriantha-Hybride
T10043	Kohleria deppeana
T10044	Kohleria -Hybride
T10045	Kohleria bogotensis
T10046	Kohleria eriantha (Benth.) Hanst.
T10047	Coelocaryon kleinei
T10048	Galbulimima belgraveana (F.Muell.) Sprague
T10049	Passiflora suberosa
T10050	Helichrysum formosissimum var. guilelmi (Engl.) Mesfin
T10051	Erysimum smyrnaeum
T10052	Erysimum sisymbrioides
T10053	Helichrysum stuhlmannii O.Hoffm.
T10054	Senecio cacaliaster Lam.
T10055	Senecio ovatus subsp. alpestris (Gaudin) Herborg
T10056	Erysimum sisymbrioides C.A.Mey.
T10057	Erysimum diffusum
T10058	Erysimum diffusum Ehrh.
T10059	Erysimum eginense Hausskn. ex Bornm.
T10060	Erysimum canescens Roth.
T10061	Cheiranthus tetragonus
T10062	Erysimum eginense
T10063	Erysimum grandiflorum var. minus
