T10002	Baltisphaeridium
T10003	Caldariola
T10004	Cymatiogalea
T10005	Dictyotidium operculata Volkova
T10006	Goniosphaeridium
T10008	Lagenochitina
T10010	Leiosphaeridia
T10012	Peteinosphaeridium
T10013	Peteinosphaeridium trifurcatum (Eisenack, 1931) Eisenack, 1969
T10014	Pirea
T10015	Poikilofusa
T10016	Stelliferidium stelligerum (Gorka, 1967) Deunff, Gorka and Rauscher 1974
T10017	Silenis
T10019	Abraxas grossulariata (Linnaeus, 1758)
T10020	Abraxas sylvata (Scopoli, 1763)
T10021	Abrostola tripartita (Hufnagel, 1766)
T10022	Abrostola triplasia (Linnaeus, 1758)
T10023	Acanthoceras rhotomagnese d'Orbigny
T10024	Acanthocladia dubia Schlotheim, 1820
T10025	Acanthocrinus longispina Römer
T10027	Acanthodiacrodium angustum (Downie, 1958) Combaz, 1967
T10028	Acanthodiacrodium formosum Gorka, 1967
T10029	Acanthodiacrodium
T10030	Acanthodiacrodium timofeevii Golub and Volkova, 1985
T10031	Acanthodiacrodium tremadocum Gorka, 1967
T10032	Acanthodiacrodium tuberatum (Downie 1958) Martin 1973
T10033	Acanthostega gunnari Jarvik, 1952
T10034	Acanthothyris spinosa
T10035	Acasis viretata (Hübner, 1799)
T10036	Aceraspis robustus Kiaer
T10037	Acervularia ananas Linne, 1758
T10038	Acervularia davidsoni Edward & Heyne
T10039	Acervularia goldfusii Edw. & H.
T10040	Acervularia impressa Roemer
T10041	Acervularia luxurians (Edwards & Haime)
T10042	Acervularia luxurians Eichwald, 1829
T10043	Acervularia
T10044	Achatella kegelensis Schmidt
T10045	Achatella nieszkowskii Schmidt
T10046	Acherontia atropos (Linnaeus, 1758)
T10047	Achlya flavicornis (Linnaeus, 1758)
T10048	Acidaspis buchi Barrande
T10049	Acidaspis buchii Barrande
T10050	Acidaspis keyserlingi Barrande
T10051	Acidaspis kuckersiana Schmidt, 1885
T10052	Acidaspis mira Barrande
